Period,Window,Horizon,Rank,Model,R2,MAE
2022_Rate_Hike,90,5,4,Mamba,0.8523,0.0287
2022_Rate_Hike,90,5,5,Bi-LSTM,0.8451,0.0298
2022_Rate_Hike,90,5,6,Ensemble,0.8353,0.0303
2022_Rate_Hike,90,5,7,ARIMA,0.7851,0.0201
2022_Rate_Hike,90,5,8,Bi-RNN,0.7613,0.0205
2022_Rate_Hike,90,5,9,Mamba,0.7537,0.0204
2022_Rate_Hike,90,5,10,Ensemble,0.7386,0.0217
2022_Rate_Hike,90,5,11,Bi-GRU,0.7279,0.0223
2022_Rate_Hike,90,5,12,PatchTST,0.6964,0.0411
2022_Rate_Hike,90,5,13,Bi-LSTM,0.6562,0.025
2022_Rate_Hike,90,5,14,SNN,0.6024,0.0489
2022_Rate_Hike,90,5,15,SNN,-0.448,0.0542
2022_Rate_Hike,90,5,16,PatchTST,-2.1369,0.0844
2022_Rate_Hike,90,10,1,ARIMA,0.7144,0.0397
2022_Rate_Hike,90,10,2,Bi-GRU,0.7029,0.0396
2022_Rate_Hike,90,10,3,Bi-RNN,0.6954,0.041
2022_Rate_Hike,90,10,4,Mamba,0.6909,0.0413
2022_Rate_Hike,90,10,5,Bi-LSTM,0.6899,0.0406
2022_Rate_Hike,90,10,6,Ensemble,0.6751,0.0421
2022_Rate_Hike,90,10,7,Bi-LSTM,0.5968,0.0265
2022_Rate_Hike,90,10,8,ARIMA,0.5926,0.0283
2022_Rate_Hike,90,10,9,PatchTST,0.5565,0.0508
2022_Rate_Hike,90,10,10,Mamba,0.5517,0.0275
2022_Rate_Hike,90,10,11,SNN,0.4738,0.0302
2022_Rate_Hike,90,10,12,Ensemble,0.462,0.0299
2022_Rate_Hike,90,10,13,Bi-RNN,0.3635,0.0326
2022_Rate_Hike,90,10,14,SNN,0.3632,0.0588
2022_Rate_Hike,90,10,15,Bi-GRU,0.2616,0.0358
2022_Rate_Hike,90,10,16,PatchTST,-1.9504,0.0771
2022_Rate_Hike,120,1,1,Bi-RNN,0.9689,0.0121
2022_Rate_Hike,120,1,2,ARIMA,0.9687,0.0123
2022_Rate_Hike,120,1,3,Bi-GRU,0.9684,0.0122
2022_Rate_Hike,120,1,4,Bi-LSTM,0.9674,0.0127
2022_Rate_Hike,120,1,5,Mamba,0.9673,0.0126
2022_Rate_Hike,120,1,6,ARIMA,0.9532,0.0091
2022_Rate_Hike,120,1,7,Ensemble,0.9479,0.0167
2022_Rate_Hike,120,1,8,Mamba,0.9186,0.0128
2022_Rate_Hike,120,1,9,Bi-RNN,0.8952,0.0139
2022_Rate_Hike,120,1,10,Ensemble,0.8427,0.0171
2022_Rate_Hike,120,1,11,Bi-GRU,0.8266,0.0179
2022_Rate_Hike,120,1,12,PatchTST,0.8183,0.0313
2022_Rate_Hike,120,1,13,SNN,0.6872,0.0412
2022_Rate_Hike,120,1,14,Bi-LSTM,0.6691,0.0248
2022_Rate_Hike,120,1,15,SNN,0.2635,0.0376
2022_Rate_Hike,120,1,16,PatchTST,-1.7579,0.0821
2022_Rate_Hike,120,5,1,Mamba,0.8578,0.0283
2022_Rate_Hike,120,5,2,Bi-RNN,0.8567,0.0285
2022_Rate_Hike,120,5,3,ARIMA,0.8561,0.0284
2022_Rate_Hike,120,5,4,Ensemble,0.8506,0.0292
2022_Rate_Hike,120,5,5,Bi-GRU,0.8475,0.0295
2022_Rate_Hike,120,5,6,Bi-LSTM,0.846,0.0296
2022_Rate_Hike,120,5,7,PatchTST,0.8091,0.0328
2022_Rate_Hike,120,5,8,ARIMA,0.7877,0.02
2022_Rate_Hike,120,5,9,Mamba,0.769,0.0203
2022_Rate_Hike,120,5,10,Bi-RNN,0.7627,0.0206
2022_Rate_Hike,120,5,11,Bi-LSTM,0.6927,0.0238
2022_Rate_Hike,120,5,12,Ensemble,0.6747,0.0238
2022_Rate_Hike,120,5,13,SNN,0.6464,0.0258
2022_Rate_Hike,120,5,14,SNN,0.6339,0.0452
2022_Rate_Hike,120,5,15,Bi-GRU,0.5053,0.0298
2022_Rate_Hike,120,5,16,PatchTST,-1.7877,0.0785
2022_Rate_Hike,120,10,1,ARIMA,0.7197,0.0389
2022_Rate_Hike,120,10,2,Bi-RNN,0.701,0.0398
2022_Rate_Hike,120,10,3,Ensemble,0.6984,0.0406
2022_Rate_Hike,120,10,4,Bi-GRU,0.6973,0.0396
2022_Rate_Hike,120,10,5,Mamba,0.6963,0.0398
2022_Rate_Hike,120,10,6,Bi-LSTM,0.6704,0.0415
2022_Rate_Hike,120,10,7,ARIMA,0.5935,0.0282
2022_Rate_Hike,120,10,8,PatchTST,0.5817,0.0456
2022_Rate_Hike,120,10,9,Mamba,0.5756,0.0271
2022_Rate_Hike,120,10,10,SNN,0.5421,0.0504
2022_Rate_Hike,120,10,11,Bi-RNN,0.2455,0.0359
2022_Rate_Hike,120,10,12,SNN,0.169,0.0382
2022_Rate_Hike,120,10,13,Bi-GRU,0.1209,0.0391
2022_Rate_Hike,120,10,14,Ensemble,0.0823,0.0392
2022_Rate_Hike,120,10,15,Bi-LSTM,-0.391,0.0501
2022_Rate_Hike,120,10,16,PatchTST,-3.1158,0.0937
2022_Rate_Hike,252,1,1,ARIMA,0.97,0.0119
2022_Rate_Hike,252,1,2,Mamba,0.9696,0.0123
2022_Rate_Hike,252,1,3,Bi-GRU,0.9689,0.0121
2022_Rate_Hike,252,1,4,Bi-LSTM,0.9681,0.0122
2022_Rate_Hike,252,1,5,Bi-RNN,0.9669,0.0129
2022_Rate_Hike,252,1,6,ARIMA,0.954,0.0091
2022_Rate_Hike,252,1,7,Ensemble,0.9491,0.0163
2022_Rate_Hike,252,1,8,Bi-RNN,0.9098,0.013
2022_Rate_Hike,252,1,9,Mamba,0.9017,0.0134
2022_Rate_Hike,252,1,10,Bi-GRU,0.8881,0.0146
2022_Rate_Hike,252,1,11,Ensemble,0.8158,0.0186
2022_Rate_Hike,252,1,12,PatchTST,0.7355,0.0354
2022_Rate_Hike,252,1,13,Bi-LSTM,0.7264,0.0227
2022_Rate_Hike,252,1,14,SNN,0.6533,0.043
2022_Rate_Hike,252,1,15,SNN,-0.1892,0.0502
2022_Rate_Hike,252,1,16,PatchTST,-2.2232,0.0859
2022_Rate_Hike,252,5,1,ARIMA,0.8594,0.0281
2022_Rate_Hike,252,5,2,Bi-RNN,0.859,0.0281
2022_Rate_Hike,252,5,3,Bi-LSTM,0.8588,0.0282
2022_Rate_Hike,252,5,4,Bi-GRU,0.8588,0.0282
2022_Rate_Hike,252,5,5,Ensemble,0.8511,0.0286
2022_Rate_Hike,252,5,6,Mamba,0.8507,0.0288
2022_Rate_Hike,252,5,7,ARIMA,0.7895,0.0199
2022_Rate_Hike,252,5,8,Mamba,0.7447,0.0214
2022_Rate_Hike,252,5,9,PatchTST,0.6633,0.0436
2022_Rate_Hike,252,5,10,SNN,0.6253,0.0437
2022_Rate_Hike,252,5,11,Bi-GRU,0.5812,0.0273
2022_Rate_Hike,252,5,12,Bi-LSTM,0.581,0.0274
2022_Rate_Hike,252,5,13,Ensemble,0.4419,0.0314
2022_Rate_Hike,252,5,14,SNN,0.1961,0.0378
2022_Rate_Hike,252,5,15,Bi-RNN,-0.1865,0.0509
2022_Rate_Hike,252,5,16,PatchTST,-2.399,0.0848
2022_Rate_Hike,252,10,1,ARIMA,0.7305,0.038
2022_Rate_Hike,252,10,2,Mamba,0.7277,0.0374
2022_Rate_Hike,252,10,3,Ensemble,0.7142,0.0393
2022_Rate_Hike,252,10,4,Bi-RNN,0.7038,0.039
2022_Rate_Hike,252,10,5,Bi-GRU,0.6969,0.0392
2022_Rate_Hike,252,10,6,Bi-LSTM,0.6725,0.0404
2022_Rate_Hike,252,10,7,Bi-RNN,0.6222,0.0252
2022_Rate_Hike,252,10,8,SNN,0.6068,0.0448
2022_Rate_Hike,252,10,9,ARIMA,0.598,0.0281
2022_Rate_Hike,252,10,10,Bi-LSTM,0.5265,0.0284
2022_Rate_Hike,252,10,11,PatchTST,0.5158,0.0552
2022_Rate_Hike,252,10,12,Mamba,0.4543,0.0304
2022_Rate_Hike,252,10,13,Ensemble,0.3255,0.0332
2022_Rate_Hike,252,10,14,Bi-GRU,-0.1094,0.0445
2022_Rate_Hike,252,10,15,SNN,-0.1464,0.0453
2022_Rate_Hike,252,10,16,PatchTST,-6.5108,0.1271
2023_AI_Wave,30,1,1,ARIMA,0.9732,0.0055
2023_AI_Wave,30,1,2,Bi-GRU,0.967,0.0086
2023_AI_Wave,30,1,3,Bi-RNN,0.9664,0.0087
2023_AI_Wave,30,1,4,Bi-LSTM,0.9661,0.0087
2023_AI_Wave,30,1,5,Mamba,0.9643,0.009
2023_AI_Wave,30,1,6,ARIMA,0.9623,0.0093
2023_AI_Wave,30,1,7,Ensemble,0.9574,0.0102
2023_AI_Wave,30,1,8,Bi-GRU,0.9522,0.0075
2023_AI_Wave,30,1,9,Mamba,0.9302,0.0089
2023_AI_Wave,30,1,10,Bi-LSTM,0.891,0.0116
2023_AI_Wave,30,1,11,Bi-RNN,0.8793,0.0122
2023_AI_Wave,30,1,12,SNN,0.8723,0.0168
2023_AI_Wave,30,1,13,Ensemble,0.8504,0.0139
2023_AI_Wave,30,1,14,PatchTST,0.8331,0.02
2023_AI_Wave,30,1,15,PatchTST,0.7947,0.0155
2023_AI_Wave,30,1,16,SNN,-0.6056,0.0496
2023_AI_Wave,30,5,1,ARIMA,0.8728,0.0121
2023_AI_Wave,30,5,2,Mamba,0.8593,0.0183
2023_AI_Wave,30,5,3,Bi-GRU,0.8572,0.0185
2023_AI_Wave,30,5,4,Bi-LSTM,0.8502,0.019
2023_AI_Wave,30,5,5,Ensemble,0.8488,0.019
2023_AI_Wave,30,5,6,Bi-RNN,0.8426,0.0196
2023_AI_Wave,30,5,7,ARIMA,0.8402,0.0196
2023_AI_Wave,30,5,8,Bi-GRU,0.84,0.0136
2023_AI_Wave,30,5,9,Mamba,0.8392,0.0129
2023_AI_Wave,30,5,10,Bi-RNN,0.7954,0.0152
2023_AI_Wave,30,5,11,Bi-LSTM,0.7749,0.0158
2023_AI_Wave,30,5,12,PatchTST,0.7551,0.0239
2023_AI_Wave,30,5,13,SNN,0.7514,0.0238
2023_AI_Wave,30,5,14,Ensemble,0.5996,0.022
2023_AI_Wave,30,5,15,PatchTST,0.405,0.0265
2023_AI_Wave,30,5,16,SNN,-1.7926,0.063
2023_AI_Wave,30,10,1,ARIMA,0.7387,0.0182
2023_AI_Wave,30,10,2,Mamba,0.7075,0.0261
2023_AI_Wave,30,10,3,Bi-LSTM,0.7005,0.0263
2023_AI_Wave,30,10,4,Bi-RNN,0.6933,0.0269
2023_AI_Wave,30,10,5,ARIMA,0.6839,0.0268
2023_AI_Wave,30,10,6,Ensemble,0.6742,0.0274
2023_AI_Wave,30,10,7,Bi-GRU,0.6582,0.0284
2023_AI_Wave,30,10,8,Bi-GRU,0.6491,0.0208
2023_AI_Wave,30,10,9,Mamba,0.6374,0.0209
2023_AI_Wave,30,10,10,PatchTST,0.5786,0.0303
2023_AI_Wave,30,10,11,Bi-RNN,0.5332,0.0236
2023_AI_Wave,30,10,12,SNN,0.4394,0.0333
2023_AI_Wave,30,10,13,Ensemble,0.2192,0.0305
2023_AI_Wave,30,10,14,PatchTST,0.2113,0.03
2023_AI_Wave,30,10,15,Bi-LSTM,-0.0919,0.0373
2023_AI_Wave,30,10,16,SNN,-2.1582,0.0659
2023_AI_Wave,60,1,1,ARIMA,0.9758,0.0052
2023_AI_Wave,60,1,2,Mamba,0.9673,0.0085
2023_AI_Wave,60,1,3,Bi-LSTM,0.967,0.0087
2023_AI_Wave,60,1,4,Bi-GRU,0.9659,0.0089
2023_AI_Wave,60,1,5,ARIMA,0.965,0.0089
2023_AI_Wave,60,1,6,Bi-RNN,0.9642,0.009
2023_AI_Wave,60,1,7,Mamba,0.9522,0.0077
2023_AI_Wave,60,1,8,Ensemble,0.9489,0.0106
2023_AI_Wave,60,1,9,Bi-GRU,0.9477,0.0079
2023_AI_Wave,60,1,10,PatchTST,0.8915,0.0156
2023_AI_Wave,60,1,11,Bi-RNN,0.8777,0.0122
2023_AI_Wave,60,1,12,Bi-LSTM,0.6506,0.0206
2023_AI_Wave,60,1,13,SNN,0.5973,0.0281
2023_AI_Wave,60,1,14,Ensemble,0.4776,0.0259
2023_AI_Wave,60,1,15,PatchTST,-0.6092,0.0433
2023_AI_Wave,60,1,16,SNN,-3.1843,0.0785
2023_AI_Wave,60,5,1,ARIMA,0.8741,0.012
2023_AI_Wave,60,5,2,Bi-LSTM,0.858,0.0186
2023_AI_Wave,60,5,3,Mamba,0.8501,0.0132
2023_AI_Wave,60,5,4,Bi-GRU,0.8457,0.0191
2023_AI_Wave,60,5,5,Bi-RNN,0.8454,0.0195
2023_AI_Wave,60,5,6,Bi-RNN,0.8414,0.0133
2023_AI_Wave,60,5,7,Mamba,0.8364,0.0196
2023_AI_Wave,60,5,8,ARIMA,0.8358,0.0198
2023_AI_Wave,60,5,9,Ensemble,0.8265,0.0199
2023_AI_Wave,60,5,10,Bi-GRU,0.816,0.0147
2023_AI_Wave,60,5,11,PatchTST,0.7882,0.022
2023_AI_Wave,60,5,12,PatchTST,0.6784,0.0197
2023_AI_Wave,60,5,13,Ensemble,0.57,0.0226
2023_AI_Wave,60,5,14,SNN,0.4056,0.0347
2023_AI_Wave,60,5,15,Bi-LSTM,0.2058,0.0311
2023_AI_Wave,60,5,16,SNN,-2.2881,0.0667
2023_AI_Wave,60,10,1,Mamba,0.7396,0.0245
2023_AI_Wave,60,10,2,ARIMA,0.7363,0.0186
2023_AI_Wave,60,10,3,Bi-GRU,0.7091,0.019
2023_AI_Wave,60,10,4,Bi-GRU,0.703,0.0264
2023_AI_Wave,60,10,5,ARIMA,0.693,0.0274
2023_AI_Wave,60,10,6,Ensemble,0.6799,0.0271
2023_AI_Wave,60,10,7,Bi-LSTM,0.6794,0.0274
2023_AI_Wave,60,10,8,Bi-RNN,0.6772,0.0276
2023_AI_Wave,60,10,9,PatchTST,0.6301,0.0293
2023_AI_Wave,60,10,10,Bi-RNN,0.6191,0.0209
2023_AI_Wave,60,10,11,PatchTST,0.6054,0.0212
2023_AI_Wave,60,10,12,Mamba,0.582,0.0224
2023_AI_Wave,60,10,13,Ensemble,0.318,0.0284
2023_AI_Wave,60,10,14,SNN,0.3109,0.0366
2023_AI_Wave,60,10,15,Bi-LSTM,-0.7381,0.0487
2023_AI_Wave,60,10,16,SNN,-1.7138,0.0572
2023_AI_Wave,90,1,1,ARIMA,0.9766,0.0051
2023_AI_Wave,90,1,2,Mamba,0.9688,0.0062
2023_AI_Wave,90,1,3,Mamba,0.9674,0.0085
2023_AI_Wave,90,1,4,Bi-GRU,0.9666,0.0087
2023_AI_Wave,90,1,5,Bi-RNN,0.9657,0.0088
2023_AI_Wave,90,1,6,Bi-LSTM,0.9656,0.0089
2023_AI_Wave,90,1,7,ARIMA,0.965,0.0088
2023_AI_Wave,90,1,8,Bi-GRU,0.9539,0.0074
2023_AI_Wave,90,1,9,Ensemble,0.9341,0.0115
2023_AI_Wave,90,1,10,Bi-LSTM,0.9104,0.0103
2023_AI_Wave,90,1,11,Bi-RNN,0.7342,0.0188
2023_AI_Wave,90,1,12,PatchTST,0.7141,0.0248
2023_AI_Wave,90,1,13,PatchTST,0.6536,0.0215
2023_AI_Wave,90,1,14,Ensemble,0.5597,0.0247
2023_AI_Wave,90,1,15,SNN,0.3356,0.0342
2023_AI_Wave,90,1,16,SNN,-5.3697,0.0995
2023_AI_Wave,90,5,1,ARIMA,0.8736,0.0121
2023_AI_Wave,90,5,2,Bi-GRU,0.8521,0.019
2023_AI_Wave,90,5,3,Bi-RNN,0.8476,0.0192
2023_AI_Wave,90,5,4,Mamba,0.8426,0.0195
2023_AI_Wave,90,5,5,ARIMA,0.8411,0.0195
2023_AI_Wave,90,5,6,Bi-LSTM,0.8372,0.0195
2023_AI_Wave,90,5,7,Bi-GRU,0.8371,0.0136
2023_AI_Wave,90,5,8,Ensemble,0.833,0.0191
2023_AI_Wave,90,5,9,Mamba,0.8259,0.014
2023_AI_Wave,90,5,10,Bi-RNN,0.8001,0.015
2023_AI_Wave,90,5,11,PatchTST,0.7353,0.0235
2023_AI_Wave,90,5,12,Ensemble,0.473,0.0258
2023_AI_Wave,90,5,13,Bi-LSTM,0.33,0.0299
2023_AI_Wave,90,5,14,SNN,0.2089,0.0355
2023_AI_Wave,90,5,15,PatchTST,-0.4247,0.0425
2023_AI_Wave,90,5,16,SNN,-0.9147,0.0491
2023_AI_Wave,90,10,1,ARIMA,0.737,0.0186
2023_AI_Wave,90,10,2,Bi-LSTM,0.7291,0.0248
2023_AI_Wave,90,10,3,Mamba,0.7226,0.0254
2023_AI_Wave,90,10,4,Ensemble,0.7129,0.0246
2023_AI_Wave,90,10,5,ARIMA,0.6982,0.0269
2023_AI_Wave,90,10,6,Bi-RNN,0.693,0.019
2023_AI_Wave,90,10,7,Bi-GRU,0.6867,0.027
2023_AI_Wave,90,10,8,Bi-RNN,0.674,0.0278
2023_AI_Wave,90,10,9,Mamba,0.6689,0.0199
2023_AI_Wave,90,10,10,Bi-GRU,0.6517,0.0206
2023_AI_Wave,90,10,11,PatchTST,0.4801,0.025
2023_AI_Wave,90,10,12,PatchTST,0.4773,0.0287
2023_AI_Wave,90,10,13,Ensemble,0.3715,0.0275
2023_AI_Wave,90,10,14,SNN,-0.0406,0.046
2023_AI_Wave,90,10,15,Bi-LSTM,-0.7657,0.0492
2023_AI_Wave,90,10,16,SNN,-0.888,0.0481
2023_AI_Wave,120,1,1,ARIMA,0.9764,0.0052
2023_AI_Wave,120,1,2,Mamba,0.9678,0.0085
2023_AI_Wave,120,1,3,Bi-LSTM,0.967,0.0087
2023_AI_Wave,120,1,4,Bi-GRU,0.9667,0.0087
2023_AI_Wave,120,1,5,Bi-RNN,0.9656,0.0088
2023_AI_Wave,120,1,6,ARIMA,0.9654,0.0089
2023_AI_Wave,120,1,7,Mamba,0.9585,0.0071
2023_AI_Wave,120,1,8,Bi-LSTM,0.9537,0.0072
2023_AI_Wave,120,1,9,Bi-GRU,0.9437,0.0083
2023_AI_Wave,120,1,10,Bi-RNN,0.9278,0.0094
2023_AI_Wave,120,1,11,Ensemble,0.9262,0.0121
2023_AI_Wave,120,1,12,Ensemble,0.884,0.0117
2023_AI_Wave,120,1,13,PatchTST,0.8585,0.017
2023_AI_Wave,120,1,14,PatchTST,0.766,0.0164
2023_AI_Wave,120,1,15,SNN,-0.0596,0.0444
2023_AI_Wave,120,1,16,SNN,-0.2717,0.0397
2023_AI_Wave,120,5,1,ARIMA,0.8786,0.0118
2023_AI_Wave,120,5,2,Mamba,0.8591,0.0183
2023_AI_Wave,120,5,3,Bi-GRU,0.8562,0.0188
2023_AI_Wave,120,5,4,Bi-LSTM,0.8552,0.0187
2023_AI_Wave,120,5,5,Bi-RNN,0.8459,0.0193
2023_AI_Wave,120,5,6,ARIMA,0.8432,0.0195
2023_AI_Wave,120,5,7,Mamba,0.8364,0.0134
2023_AI_Wave,120,5,8,Bi-GRU,0.8337,0.014
2023_AI_Wave,120,5,9,Ensemble,0.8262,0.0191
2023_AI_Wave,120,5,10,Bi-RNN,0.7815,0.0156
2023_AI_Wave,120,5,11,Bi-LSTM,0.6908,0.019
2023_AI_Wave,120,5,12,PatchTST,0.6502,0.0267
2023_AI_Wave,120,5,13,Ensemble,0.6432,0.0202
2023_AI_Wave,120,5,14,PatchTST,0.3791,0.0269
2023_AI_Wave,120,5,15,SNN,-0.1027,0.0467
2023_AI_Wave,120,5,16,SNN,-0.572,0.041
2023_AI_Wave,120,10,1,Mamba,0.7627,0.0232
2023_AI_Wave,120,10,2,Bi-RNN,0.753,0.0236
2023_AI_Wave,120,10,3,ARIMA,0.747,0.0181
2023_AI_Wave,120,10,4,Bi-GRU,0.7288,0.0249
2023_AI_Wave,120,10,5,Bi-LSTM,0.7217,0.0253
2023_AI_Wave,120,10,6,Ensemble,0.7161,0.024
2023_AI_Wave,120,10,7,Bi-GRU,0.7111,0.0187
2023_AI_Wave,120,10,8,Mamba,0.7086,0.0187
2023_AI_Wave,120,10,9,ARIMA,0.6945,0.0271
2023_AI_Wave,120,10,10,PatchTST,0.5571,0.0221
2023_AI_Wave,120,10,11,Ensemble,0.5384,0.0228
2023_AI_Wave,120,10,12,Bi-RNN,0.393,0.0271
2023_AI_Wave,120,10,13,Bi-LSTM,0.1689,0.0316
2023_AI_Wave,120,10,14,SNN,0.1381,0.0292
2023_AI_Wave,120,10,15,PatchTST,0.1376,0.038
2023_AI_Wave,120,10,16,SNN,-0.0856,0.0451
2023_AI_Wave,252,1,1,ARIMA,0.977,0.0051
2023_AI_Wave,252,1,2,Mamba,0.9707,0.0058
2023_AI_Wave,252,1,3,Mamba,0.9681,0.0084
2023_AI_Wave,252,1,4,Bi-RNN,0.967,0.0086
2023_AI_Wave,252,1,5,Bi-GRU,0.9663,0.0087
2023_AI_Wave,252,1,6,ARIMA,0.9661,0.0088
2023_AI_Wave,252,1,7,Bi-LSTM,0.9661,0.0088
2023_AI_Wave,252,1,8,Bi-GRU,0.9501,0.0077
2023_AI_Wave,252,1,9,Bi-RNN,0.9303,0.0092
2023_AI_Wave,252,1,10,Ensemble,0.9076,0.0142
2023_AI_Wave,252,1,11,Bi-LSTM,0.9039,0.0107
2023_AI_Wave,252,1,12,Ensemble,0.8711,0.0123
2023_AI_Wave,252,1,13,PatchTST,0.5989,0.03
2023_AI_Wave,252,1,14,SNN,0.4283,0.026
2023_AI_Wave,252,1,15,PatchTST,0.2837,0.0299
2023_AI_Wave,252,1,16,SNN,-0.2544,0.056
2023_AI_Wave,252,5,1,ARIMA,0.8788,0.0119
2023_AI_Wave,252,5,2,Mamba,0.8584,0.0185
2023_AI_Wave,252,5,3,Bi-LSTM,0.8567,0.0186
2023_AI_Wave,252,5,4,Bi-GRU,0.8559,0.0187
2023_AI_Wave,252,5,5,Bi-RNN,0.8547,0.0189
2023_AI_Wave,252,5,6,ARIMA,0.8473,0.0192
2023_AI_Wave,252,5,7,Bi-GRU,0.8425,0.0134
2023_AI_Wave,252,5,8,Mamba,0.8119,0.0149
2023_AI_Wave,252,5,9,Bi-LSTM,0.7996,0.0148
2023_AI_Wave,252,5,10,Bi-RNN,0.7198,0.0187
2023_AI_Wave,252,5,11,Ensemble,0.7178,0.0247
2023_AI_Wave,252,5,12,Ensemble,0.5662,0.023
2023_AI_Wave,252,5,13,SNN,-0.0941,0.0369
2023_AI_Wave,252,5,14,SNN,-0.3247,0.0568
2023_AI_Wave,252,5,15,PatchTST,-1.1339,0.0532
2023_AI_Wave,252,5,16,PatchTST,-1.8776,0.0906
2023_AI_Wave,252,10,1,Bi-GRU,0.7583,0.0233
2023_AI_Wave,252,10,2,Mamba,0.7576,0.0236
2023_AI_Wave,252,10,3,ARIMA,0.7521,0.018
2023_AI_Wave,252,10,4,Bi-RNN,0.7472,0.0239
2023_AI_Wave,252,10,5,Ensemble,0.7233,0.0227
2023_AI_Wave,252,10,6,Bi-LSTM,0.7141,0.0257
2023_AI_Wave,252,10,7,ARIMA,0.7028,0.0266
2023_AI_Wave,252,10,8,Mamba,0.6798,0.0195
2023_AI_Wave,252,10,9,Bi-GRU,0.6103,0.0218
2023_AI_Wave,252,10,10,Bi-RNN,0.5234,0.0239
2023_AI_Wave,252,10,11,Ensemble,0.1451,0.0324
2023_AI_Wave,252,10,12,Bi-LSTM,0.0859,0.0333
2023_AI_Wave,252,10,13,PatchTST,0.0749,0.0432
2023_AI_Wave,252,10,14,PatchTST,-0.1026,0.0361
2023_AI_Wave,252,10,15,SNN,-0.353,0.0554
2023_AI_Wave,252,10,16,SNN,-3.3504,0.0794
