Model,Period,Window,Horizon,Model_R2,ARIMA_R2,Delta_R2,Beats_ARIMA
Bi-LSTM,2018_Trade_War,60,10,-0.281,0.4708,-0.7518,No
PatchTST,2018_Trade_War,60,10,-0.7302,0.4708,-1.201,No
Mamba,2018_Trade_War,60,10,0.0377,0.4708,-0.4331,No
SNN,2018_Trade_War,60,10,-0.0551,0.4708,-0.526,No
Bi-RNN,2018_Trade_War,60,10,0.7494,0.4708,0.2785,Yes
Bi-GRU,2018_Trade_War,60,10,0.7847,0.4708,0.3138,Yes
Bi-LSTM,2018_Trade_War,60,10,0.7375,0.4708,0.2666,Yes
PatchTST,2018_Trade_War,60,10,0.5837,0.4708,0.1128,Yes
Mamba,2018_Trade_War,60,10,0.7515,0.4708,0.2807,Yes
SNN,2018_Trade_War,60,10,-0.0358,0.4708,-0.5066,No
Bi-RNN,2018_Trade_War,90,1,0.7417,0.9412,-0.1995,No
Bi-GRU,2018_Trade_War,90,1,0.7856,0.9412,-0.1556,No
Bi-LSTM,2018_Trade_War,90,1,0.7924,0.9412,-0.1487,No
PatchTST,2018_Trade_War,90,1,-1.0823,0.9412,-2.0235,No
Mamba,2018_Trade_War,90,1,0.8976,0.9412,-0.0436,No
SNN,2018_Trade_War,90,1,0.1485,0.9412,-0.7926,No
Bi-RNN,2018_Trade_War,90,1,0.9544,0.9412,0.0132,Yes
Bi-GRU,2018_Trade_War,90,1,0.9697,0.9412,0.0286,Yes
Bi-LSTM,2018_Trade_War,90,1,0.9624,0.9412,0.0212,Yes
PatchTST,2018_Trade_War,90,1,0.7371,0.9412,-0.2041,No
Mamba,2018_Trade_War,90,1,0.9716,0.9412,0.0304,Yes
SNN,2018_Trade_War,90,1,0.4272,0.9412,-0.514,No
Bi-RNN,2018_Trade_War,90,5,0.4332,0.7143,-0.2811,No
Bi-GRU,2018_Trade_War,90,5,0.3722,0.7143,-0.3421,No
Bi-LSTM,2018_Trade_War,90,5,0.3572,0.7143,-0.3571,No
PatchTST,2018_Trade_War,90,5,-1.0751,0.7143,-1.7894,No
Mamba,2018_Trade_War,90,5,0.4834,0.7143,-0.231,No
SNN,2018_Trade_War,90,5,0.1293,0.7143,-0.585,No
Bi-RNN,2018_Trade_War,90,5,0.8603,0.7143,0.146,Yes
Bi-GRU,2018_Trade_War,90,5,0.8517,0.7143,0.1374,Yes
Bi-LSTM,2018_Trade_War,90,5,0.8252,0.7143,0.1109,Yes
PatchTST,2018_Trade_War,90,5,0.7821,0.7143,0.0678,Yes
Mamba,2018_Trade_War,90,5,0.8067,0.7143,0.0924,Yes
SNN,2018_Trade_War,90,5,-0.0497,0.7143,-0.764,No
Bi-RNN,2018_Trade_War,90,10,0.2814,0.4802,-0.1989,No
Bi-GRU,2018_Trade_War,90,10,-0.1379,0.4802,-0.6181,No
Bi-LSTM,2018_Trade_War,90,10,-5.8144,0.4802,-6.2946,No
PatchTST,2018_Trade_War,90,10,-0.1516,0.4802,-0.6319,No
Mamba,2018_Trade_War,90,10,0.1353,0.4802,-0.3449,No
SNN,2018_Trade_War,90,10,-0.2701,0.4802,-0.7504,No
Bi-RNN,2018_Trade_War,90,10,0.7853,0.4802,0.3051,Yes
Bi-GRU,2018_Trade_War,90,10,0.7886,0.4802,0.3083,Yes
Bi-LSTM,2018_Trade_War,90,10,0.6771,0.4802,0.1968,Yes
PatchTST,2018_Trade_War,90,10,0.6959,0.4802,0.2156,Yes
Mamba,2018_Trade_War,90,10,0.7627,0.4802,0.2825,Yes
SNN,2018_Trade_War,90,10,-0.1536,0.4802,-0.6338,No
Bi-RNN,2018_Trade_War,120,1,0.7442,0.9413,-0.1971,No
Bi-GRU,2018_Trade_War,120,1,0.8081,0.9413,-0.1332,No
Bi-LSTM,2018_Trade_War,120,1,0.791,0.9413,-0.1503,No
PatchTST,2018_Trade_War,120,1,0.1538,0.9413,-0.7876,No
Mamba,2018_Trade_War,120,1,0.8,0.9413,-0.1413,No
SNN,2018_Trade_War,120,1,0.3337,0.9413,-0.6076,No
Bi-RNN,2018_Trade_War,120,1,0.9504,0.9413,0.0091,Yes
Bi-GRU,2018_Trade_War,120,1,0.9716,0.9413,0.0303,Yes
Bi-LSTM,2018_Trade_War,120,1,0.9688,0.9413,0.0274,Yes
PatchTST,2018_Trade_War,120,1,0.6959,0.9413,-0.2454,No
Mamba,2018_Trade_War,120,1,0.9714,0.9413,0.0301,Yes
SNN,2018_Trade_War,120,1,0.3526,0.9413,-0.5888,No
Bi-RNN,2018_Trade_War,120,5,0.4332,0.7193,-0.2861,No
Bi-GRU,2018_Trade_War,120,5,0.3689,0.7193,-0.3504,No
Bi-LSTM,2018_Trade_War,120,5,-0.001,0.7193,-0.7203,No
PatchTST,2018_Trade_War,120,5,-0.1184,0.7193,-0.8377,No
Mamba,2018_Trade_War,120,5,0.4379,0.7193,-0.2814,No
SNN,2018_Trade_War,120,5,0.0151,0.7193,-0.7042,No
Bi-RNN,2018_Trade_War,120,5,0.8579,0.7193,0.1385,Yes
Bi-GRU,2018_Trade_War,120,5,0.8637,0.7193,0.1444,Yes
Bi-LSTM,2018_Trade_War,120,5,0.8465,0.7193,0.1272,Yes
PatchTST,2018_Trade_War,120,5,0.8161,0.7193,0.0968,Yes
Mamba,2018_Trade_War,120,5,0.851,0.7193,0.1317,Yes
SNN,2018_Trade_War,120,5,0.0315,0.7193,-0.6878,No
Bi-RNN,2018_Trade_War,120,10,0.3244,0.4998,-0.1754,No
Bi-GRU,2018_Trade_War,120,10,0.0457,0.4998,-0.4541,No
Bi-LSTM,2018_Trade_War,120,10,-0.1317,0.4998,-0.6315,No
PatchTST,2018_Trade_War,120,10,-0.6538,0.4998,-1.1537,No
Mamba,2018_Trade_War,120,10,0.1318,0.4998,-0.3681,No
SNN,2018_Trade_War,120,10,-0.5634,0.4998,-1.0633,No
Bi-RNN,2018_Trade_War,120,10,0.7818,0.4998,0.2819,Yes
Bi-GRU,2018_Trade_War,120,10,0.7829,0.4998,0.283,Yes
Bi-LSTM,2018_Trade_War,120,10,0.7588,0.4998,0.2589,Yes
PatchTST,2018_Trade_War,120,10,0.4938,0.4998,-0.006,No
Mamba,2018_Trade_War,120,10,0.7561,0.4998,0.2562,Yes
SNN,2018_Trade_War,120,10,0.0057,0.4998,-0.4941,No
Bi-RNN,2018_Trade_War,252,1,0.7768,0.9432,-0.1664,No
Bi-GRU,2018_Trade_War,252,1,0.83,0.9432,-0.1132,No
Bi-LSTM,2018_Trade_War,252,1,0.7192,0.9432,-0.224,No
PatchTST,2018_Trade_War,252,1,0.0093,0.9432,-0.9339,No
Mamba,2018_Trade_War,252,1,0.885,0.9432,-0.0583,No
SNN,2018_Trade_War,252,1,0.407,0.9432,-0.5362,No
Bi-RNN,2018_Trade_War,252,1,0.9607,0.9432,0.0174,Yes
Bi-GRU,2018_Trade_War,252,1,0.9714,0.9432,0.0282,Yes
Bi-LSTM,2018_Trade_War,252,1,0.9648,0.9432,0.0215,Yes
PatchTST,2018_Trade_War,252,1,0.8755,0.9432,-0.0677,No
Mamba,2018_Trade_War,252,1,0.9606,0.9432,0.0174,Yes
SNN,2018_Trade_War,252,1,-0.0795,0.9432,-1.0227,No
Bi-RNN,2018_Trade_War,252,5,0.1775,0.7254,-0.5478,No
Bi-GRU,2018_Trade_War,252,5,0.4197,0.7254,-0.3056,No
Bi-LSTM,2018_Trade_War,252,5,0.2705,0.7254,-0.4549,No
PatchTST,2018_Trade_War,252,5,0.1041,0.7254,-0.6213,No
Mamba,2018_Trade_War,252,5,0.4881,0.7254,-0.2372,No
SNN,2018_Trade_War,252,5,0.3721,0.7254,-0.3533,No
Bi-RNN,2018_Trade_War,252,5,0.861,0.7254,0.1356,Yes
Bi-GRU,2018_Trade_War,252,5,0.8572,0.7254,0.1318,Yes
Bi-LSTM,2018_Trade_War,252,5,0.8416,0.7254,0.1162,Yes
PatchTST,2018_Trade_War,252,5,0.6871,0.7254,-0.0383,No
Mamba,2018_Trade_War,252,5,0.835,0.7254,0.1096,Yes
SNN,2018_Trade_War,252,5,-0.1808,0.7254,-0.9062,No
Bi-RNN,2018_Trade_War,252,10,0.2897,0.5096,-0.2199,No
Bi-GRU,2018_Trade_War,252,10,-0.2586,0.5096,-0.7682,No
Bi-LSTM,2018_Trade_War,252,10,-0.4581,0.5096,-0.9677,No
PatchTST,2018_Trade_War,252,10,-1.9939,0.5096,-2.5035,No
Mamba,2018_Trade_War,252,10,0.1764,0.5096,-0.3332,No
SNN,2018_Trade_War,252,10,-0.4701,0.5096,-0.9797,No
Bi-RNN,2018_Trade_War,252,10,0.7503,0.5096,0.2407,Yes
Bi-GRU,2018_Trade_War,252,10,0.7698,0.5096,0.2602,Yes
Bi-LSTM,2018_Trade_War,252,10,0.7576,0.5096,0.248,Yes
PatchTST,2018_Trade_War,252,10,0.6077,0.5096,0.0981,Yes
Mamba,2018_Trade_War,252,10,0.7294,0.5096,0.2198,Yes
SNN,2018_Trade_War,252,10,0.0378,0.5096,-0.4718,No
Bi-RNN,2020_COVID_Crash,30,1,0.6662,0.8869,-0.2206,No
Bi-GRU,2020_COVID_Crash,30,1,0.6734,0.8869,-0.2135,No
Bi-LSTM,2020_COVID_Crash,30,1,0.7059,0.8869,-0.1809,No
PatchTST,2020_COVID_Crash,30,1,-0.3534,0.8869,-1.2402,No
Mamba,2020_COVID_Crash,30,1,0.6417,0.8869,-0.2452,No
SNN,2020_COVID_Crash,30,1,0.0819,0.8869,-0.8049,No
Bi-RNN,2020_COVID_Crash,30,1,0.9076,0.8869,0.0208,Yes
Bi-GRU,2020_COVID_Crash,30,1,0.9104,0.8869,0.0235,Yes
Bi-LSTM,2020_COVID_Crash,30,1,0.9088,0.8869,0.022,Yes
PatchTST,2020_COVID_Crash,30,1,0.5254,0.8869,-0.3615,No
Mamba,2020_COVID_Crash,30,1,0.9034,0.8869,0.0165,Yes
SNN,2020_COVID_Crash,30,1,0.3603,0.8869,-0.5266,No
Bi-RNN,2020_COVID_Crash,30,5,0.5019,0.5371,-0.0352,No
Bi-GRU,2020_COVID_Crash,30,5,0.3833,0.5371,-0.1538,No
Bi-LSTM,2020_COVID_Crash,30,5,0.3324,0.5371,-0.2047,No
PatchTST,2020_COVID_Crash,30,5,-0.6769,0.5371,-1.214,No
Mamba,2020_COVID_Crash,30,5,0.3874,0.5371,-0.1498,No
SNN,2020_COVID_Crash,30,5,-0.0506,0.5371,-0.5877,No
Bi-RNN,2020_COVID_Crash,30,5,0.5933,0.5371,0.0561,Yes
Bi-GRU,2020_COVID_Crash,30,5,0.538,0.5371,0.0009,Yes
Bi-LSTM,2020_COVID_Crash,30,5,0.5502,0.5371,0.0131,Yes
PatchTST,2020_COVID_Crash,30,5,0.2332,0.5371,-0.304,No
Mamba,2020_COVID_Crash,30,5,0.5881,0.5371,0.0509,Yes
SNN,2020_COVID_Crash,30,5,0.2351,0.5371,-0.302,No
Bi-RNN,2020_COVID_Crash,30,10,-0.1356,0.1014,-0.237,No
Bi-GRU,2020_COVID_Crash,30,10,-0.2803,0.1014,-0.3817,No
Bi-LSTM,2020_COVID_Crash,30,10,-0.3303,0.1014,-0.4317,No
PatchTST,2020_COVID_Crash,30,10,-0.8587,0.1014,-0.9601,No
Mamba,2020_COVID_Crash,30,10,-0.4838,0.1014,-0.5852,No
SNN,2020_COVID_Crash,30,10,-0.6505,0.1014,-0.7519,No
Bi-RNN,2020_COVID_Crash,30,10,0.0038,0.1014,-0.0976,No
Bi-GRU,2020_COVID_Crash,30,10,-0.0819,0.1014,-0.1833,No
Bi-LSTM,2020_COVID_Crash,30,10,-0.0189,0.1014,-0.1203,No
PatchTST,2020_COVID_Crash,30,10,-0.5983,0.1014,-0.6997,No
Mamba,2020_COVID_Crash,30,10,-0.0754,0.1014,-0.1768,No
SNN,2020_COVID_Crash,30,10,-0.4111,0.1014,-0.5125,No
Bi-RNN,2020_COVID_Crash,60,1,0.8117,0.8962,-0.0844,No
Bi-GRU,2020_COVID_Crash,60,1,0.7627,0.8962,-0.1335,No
Bi-LSTM,2020_COVID_Crash,60,1,0.6282,0.8962,-0.268,No
PatchTST,2020_COVID_Crash,60,1,-0.4247,0.8962,-1.3208,No
Mamba,2020_COVID_Crash,60,1,0.6239,0.8962,-0.2722,No
SNN,2020_COVID_Crash,60,1,-0.0651,0.8962,-0.9612,No
Bi-RNN,2020_COVID_Crash,60,1,0.9066,0.8962,0.0104,Yes
Bi-GRU,2020_COVID_Crash,60,1,0.9023,0.8962,0.0061,Yes
Bi-LSTM,2020_COVID_Crash,60,1,0.9086,0.8962,0.0125,Yes
PatchTST,2020_COVID_Crash,60,1,0.6363,0.8962,-0.2599,No
Mamba,2020_COVID_Crash,60,1,0.9096,0.8962,0.0134,Yes
SNN,2020_COVID_Crash,60,1,-0.0572,0.8962,-0.9534,No
Bi-RNN,2020_COVID_Crash,60,5,0.5261,0.5889,-0.0628,No
Bi-GRU,2020_COVID_Crash,60,5,0.2414,0.5889,-0.3475,No
Bi-LSTM,2020_COVID_Crash,60,5,0.396,0.5889,-0.1929,No
PatchTST,2020_COVID_Crash,60,5,-1.4192,0.5889,-2.0081,No
Mamba,2020_COVID_Crash,60,5,0.4676,0.5889,-0.1212,No
SNN,2020_COVID_Crash,60,5,-0.3922,0.5889,-0.981,No
Bi-RNN,2020_COVID_Crash,60,5,0.5479,0.5889,-0.041,No
Bi-GRU,2020_COVID_Crash,60,5,0.5651,0.5889,-0.0237,No
Bi-LSTM,2020_COVID_Crash,60,5,0.5847,0.5889,-0.0042,No
PatchTST,2020_COVID_Crash,60,5,0.3382,0.5889,-0.2507,No
Mamba,2020_COVID_Crash,60,5,0.5623,0.5889,-0.0266,No
SNN,2020_COVID_Crash,60,5,-0.5443,0.5889,-1.1332,No
Bi-RNN,2020_COVID_Crash,60,10,-0.1196,0.1827,-0.3024,No
Bi-GRU,2020_COVID_Crash,60,10,-0.4125,0.1827,-0.5952,No
Bi-LSTM,2020_COVID_Crash,60,10,-0.3551,0.1827,-0.5378,No
PatchTST,2020_COVID_Crash,60,10,-1.081,0.1827,-1.2637,No
Mamba,2020_COVID_Crash,60,10,-1.8002,0.1827,-1.983,No
SNN,2020_COVID_Crash,60,10,-1.3379,0.1827,-1.5207,No
Bi-RNN,2020_COVID_Crash,60,10,-0.0679,0.1827,-0.2507,No
Bi-GRU,2020_COVID_Crash,60,10,-0.081,0.1827,-0.2638,No
Bi-LSTM,2020_COVID_Crash,60,10,-0.1733,0.1827,-0.356,No
PatchTST,2020_COVID_Crash,60,10,-0.3888,0.1827,-0.5715,No
Mamba,2020_COVID_Crash,60,10,-0.2531,0.1827,-0.4358,No
SNN,2020_COVID_Crash,60,10,-1.215,0.1827,-1.3977,No
Bi-RNN,2020_COVID_Crash,90,1,0.8136,0.8978,-0.0842,No
Bi-GRU,2020_COVID_Crash,90,1,0.7629,0.8978,-0.1349,No
Bi-LSTM,2020_COVID_Crash,90,1,0.7404,0.8978,-0.1574,No
PatchTST,2020_COVID_Crash,90,1,-0.0666,0.8978,-0.9644,No
Mamba,2020_COVID_Crash,90,1,0.7022,0.8978,-0.1956,No
SNN,2020_COVID_Crash,90,1,-0.3254,0.8978,-1.2232,No
Bi-RNN,2020_COVID_Crash,90,1,0.9054,0.8978,0.0076,Yes
Bi-GRU,2020_COVID_Crash,90,1,0.9116,0.8978,0.0139,Yes
Bi-LSTM,2020_COVID_Crash,90,1,0.9113,0.8978,0.0135,Yes
PatchTST,2020_COVID_Crash,90,1,0.4046,0.8978,-0.4932,No
Mamba,2020_COVID_Crash,90,1,0.9064,0.8978,0.0087,Yes
SNN,2020_COVID_Crash,90,1,-0.0597,0.8978,-0.9575,No
Bi-RNN,2020_COVID_Crash,90,5,0.5254,0.5677,-0.0423,No
Bi-GRU,2020_COVID_Crash,90,5,0.2495,0.5677,-0.3182,No
Bi-LSTM,2020_COVID_Crash,90,5,0.3418,0.5677,-0.2259,No
PatchTST,2020_COVID_Crash,90,5,-0.9685,0.5677,-1.5362,No
Mamba,2020_COVID_Crash,90,5,0.2832,0.5677,-0.2845,No
SNN,2020_COVID_Crash,90,5,-0.5631,0.5677,-1.1308,No
Bi-RNN,2020_COVID_Crash,90,5,0.5438,0.5677,-0.0238,No
Bi-GRU,2020_COVID_Crash,90,5,0.5776,0.5677,0.0099,Yes
Bi-LSTM,2020_COVID_Crash,90,5,0.5924,0.5677,0.0247,Yes
PatchTST,2020_COVID_Crash,90,5,-0.3415,0.5677,-0.9091,No
Mamba,2020_COVID_Crash,90,5,0.5623,0.5677,-0.0054,No
SNN,2020_COVID_Crash,90,5,-0.2039,0.5677,-0.7716,No
Bi-RNN,2020_COVID_Crash,90,10,-0.2762,0.1241,-0.4004,No
Bi-GRU,2020_COVID_Crash,90,10,-0.28,0.1241,-0.4042,No
Bi-LSTM,2020_COVID_Crash,90,10,-0.3031,0.1241,-0.4272,No
PatchTST,2020_COVID_Crash,90,10,-0.7581,0.1241,-0.8823,No
Mamba,2020_COVID_Crash,90,10,-0.1952,0.1241,-0.3194,No
SNN,2020_COVID_Crash,90,10,-1.0131,0.1241,-1.1373,No
Bi-RNN,2020_COVID_Crash,90,10,-0.0056,0.1241,-0.1297,No
Bi-GRU,2020_COVID_Crash,90,10,-0.0491,0.1241,-0.1732,No
Bi-LSTM,2020_COVID_Crash,90,10,-0.1637,0.1241,-0.2878,No
PatchTST,2020_COVID_Crash,90,10,-1.35,0.1241,-1.4742,No
Mamba,2020_COVID_Crash,90,10,-0.1337,0.1241,-0.2578,No
SNN,2020_COVID_Crash,90,10,-0.7503,0.1241,-0.8744,No
Bi-RNN,2020_COVID_Crash,120,1,0.7359,0.8994,-0.1635,No
Bi-GRU,2020_COVID_Crash,120,1,0.6528,0.8994,-0.2466,No
Bi-LSTM,2020_COVID_Crash,120,1,0.7444,0.8994,-0.155,No
PatchTST,2020_COVID_Crash,120,1,-0.1833,0.8994,-1.0827,No
Mamba,2020_COVID_Crash,120,1,0.7128,0.8994,-0.1865,No
SNN,2020_COVID_Crash,120,1,-0.2191,0.8994,-1.1185,No
Bi-RNN,2020_COVID_Crash,120,1,0.9021,0.8994,0.0027,Yes
Bi-GRU,2020_COVID_Crash,120,1,0.9116,0.8994,0.0122,Yes
Bi-LSTM,2020_COVID_Crash,120,1,0.912,0.8994,0.0126,Yes
PatchTST,2020_COVID_Crash,120,1,0.717,0.8994,-0.1824,No
Mamba,2020_COVID_Crash,120,1,0.91,0.8994,0.0106,Yes
SNN,2020_COVID_Crash,120,1,0.0412,0.8994,-0.8582,No
Bi-RNN,2020_COVID_Crash,120,5,0.5177,0.5994,-0.0817,No
Bi-GRU,2020_COVID_Crash,120,5,0.2996,0.5994,-0.2998,No
Bi-LSTM,2020_COVID_Crash,120,5,0.3872,0.5994,-0.2122,No
PatchTST,2020_COVID_Crash,120,5,-1.2566,0.5994,-1.856,No
Mamba,2020_COVID_Crash,120,5,0.4902,0.5994,-0.1092,No
SNN,2020_COVID_Crash,120,5,-0.1556,0.5994,-0.755,No
Bi-RNN,2020_COVID_Crash,120,5,0.5622,0.5994,-0.0372,No
Bi-GRU,2020_COVID_Crash,120,5,0.5554,0.5994,-0.044,No
Bi-LSTM,2020_COVID_Crash,120,5,0.5462,0.5994,-0.0531,No
PatchTST,2020_COVID_Crash,120,5,0.3245,0.5994,-0.2749,No
Mamba,2020_COVID_Crash,120,5,0.5815,0.5994,-0.0179,No
SNN,2020_COVID_Crash,120,5,-0.1385,0.5994,-0.7378,No
Bi-RNN,2020_COVID_Crash,120,10,-0.0347,0.1596,-0.1943,No
Bi-GRU,2020_COVID_Crash,120,10,-0.4366,0.1596,-0.5962,No
Bi-LSTM,2020_COVID_Crash,120,10,-0.3872,0.1596,-0.5468,No
PatchTST,2020_COVID_Crash,120,10,-1.2445,0.1596,-1.4041,No
Mamba,2020_COVID_Crash,120,10,-0.1918,0.1596,-0.3514,No
SNN,2020_COVID_Crash,120,10,-0.7384,0.1596,-0.898,No
Bi-RNN,2020_COVID_Crash,120,10,-0.1112,0.1596,-0.2708,No
Bi-GRU,2020_COVID_Crash,120,10,-0.1414,0.1596,-0.301,No
Bi-LSTM,2020_COVID_Crash,120,10,-0.1272,0.1596,-0.2868,No
PatchTST,2020_COVID_Crash,120,10,-0.2853,0.1596,-0.4449,No
Mamba,2020_COVID_Crash,120,10,-0.1239,0.1596,-0.2835,No
SNN,2020_COVID_Crash,120,10,-0.7159,0.1596,-0.8755,No
Bi-RNN,2020_COVID_Crash,252,1,0.792,0.9045,-0.1124,No
Bi-GRU,2020_COVID_Crash,252,1,0.7143,0.9045,-0.1902,No
Bi-LSTM,2020_COVID_Crash,252,1,0.4675,0.9045,-0.437,No
PatchTST,2020_COVID_Crash,252,1,-0.2995,0.9045,-1.204,No
Mamba,2020_COVID_Crash,252,1,0.7345,0.9045,-0.1699,No
SNN,2020_COVID_Crash,252,1,-0.0239,0.9045,-0.9284,No
Bi-RNN,2020_COVID_Crash,252,1,0.9011,0.9045,-0.0033,No
Bi-GRU,2020_COVID_Crash,252,1,0.9087,0.9045,0.0042,Yes
Bi-LSTM,2020_COVID_Crash,252,1,0.9134,0.9045,0.0089,Yes
PatchTST,2020_COVID_Crash,252,1,0.6455,0.9045,-0.259,No
Mamba,2020_COVID_Crash,252,1,0.9106,0.9045,0.0061,Yes
SNN,2020_COVID_Crash,252,1,0.18,0.9045,-0.7245,No
Bi-RNN,2020_COVID_Crash,252,5,0.4628,0.6038,-0.1411,No
Bi-GRU,2020_COVID_Crash,252,5,0.3399,0.6038,-0.264,No
Bi-LSTM,2020_COVID_Crash,252,5,0.2878,0.6038,-0.316,No
PatchTST,2020_COVID_Crash,252,5,0.0278,0.6038,-0.576,No
Mamba,2020_COVID_Crash,252,5,-0.0038,0.6038,-0.6076,No
SNN,2020_COVID_Crash,252,5,-0.2527,0.6038,-0.8565,No
Bi-RNN,2020_COVID_Crash,252,5,0.5466,0.6038,-0.0573,No
Bi-GRU,2020_COVID_Crash,252,5,0.5714,0.6038,-0.0324,No
Bi-LSTM,2020_COVID_Crash,252,5,0.5539,0.6038,-0.0499,No
PatchTST,2020_COVID_Crash,252,5,0.2616,0.6038,-0.3422,No
Mamba,2020_COVID_Crash,252,5,0.5677,0.6038,-0.0361,No
SNN,2020_COVID_Crash,252,5,-0.0072,0.6038,-0.611,No
Bi-RNN,2020_COVID_Crash,252,10,-0.1766,0.1669,-0.3434,No
Bi-GRU,2020_COVID_Crash,252,10,-0.4967,0.1669,-0.6636,No
Bi-LSTM,2020_COVID_Crash,252,10,-0.3425,0.1669,-0.5093,No
PatchTST,2020_COVID_Crash,252,10,-1.3794,0.1669,-1.5463,No
Mamba,2020_COVID_Crash,252,10,-0.9939,0.1669,-1.1608,No
SNN,2020_COVID_Crash,252,10,-1.4635,0.1669,-1.6304,No
Bi-RNN,2020_COVID_Crash,252,10,-0.2117,0.1669,-0.3786,No
Bi-GRU,2020_COVID_Crash,252,10,-0.0882,0.1669,-0.2551,No
Bi-LSTM,2020_COVID_Crash,252,10,-0.0909,0.1669,-0.2578,No
PatchTST,2020_COVID_Crash,252,10,-0.1805,0.1669,-0.3474,No
Mamba,2020_COVID_Crash,252,10,-0.1461,0.1669,-0.3129,No
SNN,2020_COVID_Crash,252,10,-0.3769,0.1669,-0.5438,No
Bi-RNN,2022_Rate_Hike,30,1,0.9077,0.9573,-0.0496,No
Bi-GRU,2022_Rate_Hike,30,1,0.8953,0.9573,-0.062,No
Bi-LSTM,2022_Rate_Hike,30,1,0.8128,0.9573,-0.1445,No
PatchTST,2022_Rate_Hike,30,1,-0.1156,0.9573,-1.0729,No
Mamba,2022_Rate_Hike,30,1,0.912,0.9573,-0.0453,No
SNN,2022_Rate_Hike,30,1,0.6129,0.9573,-0.3444,No
Bi-RNN,2022_Rate_Hike,30,1,0.9711,0.9573,0.0139,Yes
Bi-GRU,2022_Rate_Hike,30,1,0.9712,0.9573,0.0139,Yes
Bi-LSTM,2022_Rate_Hike,30,1,0.9654,0.9573,0.0081,Yes
PatchTST,2022_Rate_Hike,30,1,0.8427,0.9573,-0.1146,No
Mamba,2022_Rate_Hike,30,1,0.9684,0.9573,0.0111,Yes
SNN,2022_Rate_Hike,30,1,0.8762,0.9573,-0.081,No
Bi-RNN,2022_Rate_Hike,30,5,0.7602,0.8126,-0.0523,No
Bi-GRU,2022_Rate_Hike,30,5,0.569,0.8126,-0.2436,No
Bi-LSTM,2022_Rate_Hike,30,5,0.6441,0.8126,-0.1685,No
PatchTST,2022_Rate_Hike,30,5,-0.2876,0.8126,-1.1002,No
Mamba,2022_Rate_Hike,30,5,0.7605,0.8126,-0.052,No
SNN,2022_Rate_Hike,30,5,0.3243,0.8126,-0.4882,No
Bi-RNN,2022_Rate_Hike,30,5,0.8572,0.8126,0.0446,Yes
Bi-GRU,2022_Rate_Hike,30,5,0.8543,0.8126,0.0417,Yes
Bi-LSTM,2022_Rate_Hike,30,5,0.8548,0.8126,0.0423,Yes
PatchTST,2022_Rate_Hike,30,5,0.7381,0.8126,-0.0744,No
Mamba,2022_Rate_Hike,30,5,0.8585,0.8126,0.046,Yes
